full_text_comments,full_text_comments_preprocessed
@susipudjiastuti @prabowo Oh tentu tydack mungkin Bu. Sama saja menutup perusahaannya sendiri beliau . Memang ini kan tujuan dia berkuas agar bisnis lancar car caaar bebas hambatan ,oh tentu tydack mungkin bu sama saja menutup perusahaannya sendiri beliau memang ini kan tujuan dia berkuas agar bisnis lancar car caaar bebas hambatan
@susipudjiastuti @prabowo Kasih paham bu.. harusnya ibu sih yg jadi presiden,kasih paham bu harusnya ibu sih yg jadi presiden
@susipudjiastuti @prabowo Bukan nya anak perusahaan beliau juga terlibat #Ups,bukan nya anak perusahaan beliau juga terlibat ups
@susipudjiastuti @prabowo Benar Bu..sudah saat ny Indonesia utk waktu yg cukup lama hentikan proyek deforestasi.. Tanam kembali hutan2 yg udh gundul.. Perlu waktu 30 Thun lebih utk pohon yg akar ny bisa mencegah longsor dan menyimpan cadangan air..,benar busudah saat ny indonesia utk waktu yg cukup lama hentikan proyek deforestasi tanam kembali hutan yg udh gundul perlu waktu thun lebih utk pohon yg akar ny bisa mencegah longsor dan menyimpan cadangan air
@susipudjiastuti @prabowo Ini sampai Bu Susi loh yang nge-tweet apakah akan terdengar didengar dilaksanakan atau...mmmmmmmmmmmmmmmm,ini sampai bu susi loh yang ngetweet apakah akan terdengar didengar dilaksanakan ataummmmmmmmmmmmmmmm
@susipudjiastuti @prabowo Presiden paling sulit ditembus nih bu sangking banyak bubble nya jadi lambat nerima informasi &amp; kritik,presiden paling sulit ditembus nih bu sangking banyak bubble nya jadi lambat nerima informasi amp kritik
@susipudjiastuti @prabowo Legal ilegal hutan gundul jika masih ada produksi stop pembukaan lahan baru stop deforestasi,legal ilegal hutan gundul jika masih ada produksi stop pembukaan lahan baru stop deforestasi
@susipudjiastuti @prabowo Mana dengar dia buk sudahlah gak usah lagi berharap. Biarkan saja dimakan sumpahnya sendiri,mana dengar dia buk sudahlah gak usah lagi berharap biarkan saja dimakan sumpahnya sendiri
@susipudjiastuti @prabowo Kemablikan HUTAN ke Fungsinya Jgn lagi Ada Perusakan HUTAN dg Dalih Apa pun. Hsl dr Tambang Perkebunan Sawit Sangat tdk Sebanding dg Dampak Kerusakan yg diTimbulkan. Pun yg Menikmati hny Sgelintir ORANG. RAKYAT ttp Saja kebagian AMPAS . Ingat Anak CUCU kt Stop Cabut Izin nya.,kemablikan hutan ke fungsinya jgn lagi ada perusakan hutan dg dalih apa pun hsl dr tambang perkebunan sawit sangat tdk sebanding dg dampak kerusakan yg ditimbulkan pun yg menikmati hny sgelintir orang rakyat ttp saja kebagian ampas ingat anak cucu kt stop cabut izin nya
@susipudjiastuti @prabowo Presiden / keluarganya diduga punya kebun sawit yg tdk sedikit bu @susipudjiastuti ? ,presiden keluarganya diduga punya kebun sawit yg tdk sedikit bu
@susipudjiastuti @prabowo Yang heppy mereka bu...rakyat mblangsak mah udah biasa...biasa buat tumbal,yang heppy mereka burakyat mblangsak mah udah biasabiasa buat tumbal
@susipudjiastuti @prabowo Ibu susi HP pak @prabowo disetting sama buna Teddy buat gak main sosmed banyak². Mana mungkin aspirasi rakyat bahkan sekaliber Bu Susi terdengar.,ibu susi hp pak disetting sama buna teddy buat gak main sosmed banyak mana mungkin aspirasi rakyat bahkan sekaliber bu susi terdengar
@susipudjiastuti @prabowo Apakah didengar buk @susipudjiastuti oleh presiden prabaowo klo kuarganya jg andil didlm stu..dan presiden dikepung pembantunya yg ikut andil jg ,apakah didengar buk oleh presiden prabaowo klo kuarganya jg andil didlm studan presiden dikepung pembantunya yg ikut andil jg
@susipudjiastuti @prabowo Tanam kembali hutan sperti bapak ke brazil kmrn,tanam kembali hutan sperti bapak ke brazil kmrn
@susipudjiastuti @prabowo @grok seberapa luas lahan sawit yang dimiliki pak Prabowo Subianto?,seberapa luas lahan sawit yang dimiliki pak prabowo subianto
@susipudjiastuti @prabowo Setuju bu saat ini pemilahan harusnya : mana yg berdampak negatif dan positif. Jika berdampak negatif maka tutup walau legal.,setuju bu saat ini pemilahan harusnya mana yg berdampak negatif dan positif jika berdampak negatif maka tutup walau legal
@susipudjiastuti @prabowo Seperti nya harus rakyat yg menghentikan semua termasuk para pejabat yg sudah jelas bermasalah ada barang buktinya..,seperti nya harus rakyat yg menghentikan semua termasuk para pejabat yg sudah jelas bermasalah ada barang buktinya
@susipudjiastuti @prabowo yg Legal malah lebih parah,yg legal malah lebih parah
@susipudjiastuti @prabowo emang berani prabowo lawan cukong2 dan jaringannya yg berurat akar di negeri ini buk? .,emang berani prabowo lawan cukong dan jaringannya yg berurat akar di negeri ini buk
@susipudjiastuti @prabowo O. T. A. K. !! Repot bu klo org yg duduk di pemerintahan tidak mikirin rakyat tapi mikir kepentingan diri dan kelg nya. Mo sampe modyar ya tetep serakah!!,o t a k repot bu klo org yg duduk di pemerintahan tidak mikirin rakyat tapi mikir kepentingan diri dan kelg nya mo sampe modyar ya tetep serakah
@susipudjiastuti @prabowo brarti sebelumnya gk ditertibkan ,brarti sebelumnya gk ditertibkan
@susipudjiastuti @prabowo Tak bisa tawar menawar Selamatkan hutan alam Indonesia utk kebaikan keberlangsungan kehidupan. Alam anugrah yg harus di jaga bukan dirusak rusaknya alam kerugian utk Masyarakat Flora Fauna disekitar.,tak bisa tawar menawar selamatkan hutan alam indonesia utk kebaikan keberlangsungan kehidupan alam anugrah yg harus di jaga bukan dirusak rusaknya alam kerugian utk masyarakat flora fauna disekitar
@susipudjiastuti @prabowo SAAT MASIH KONFLIK DI ACEH HUTANNYA AMAN!!! KL KATA2 WOWOK BISA DIPERCAYA TAEK KUCINGPUN BISA JADI EMAS!!!,saat masih konflik di aceh hutannya aman kl kata wowok bisa dipercaya taek kucingpun bisa jadi emas
@susipudjiastuti @prabowo Negeri ini sdh mengarah pada kehancuran selama pemimpinnya tdk mau jujur pada rakyat. Pencitraan makin menonjol solusinya gaje alias ga jelas,negeri ini sdh mengarah pada kehancuran selama pemimpinnya tdk mau jujur pada rakyat pencitraan makin menonjol solusinya gaje alias ga jelas
@susipudjiastuti @prabowo lha dia punya jg buanyaak bgt bu gmana MALING bs tangkap maling?? @prabowo,lha dia punya jg buanyaak bgt bu gmana maling bs tangkap maling
@susipudjiastuti @prabowo Segilintir org yg untung dn punya kuasa. Yg menderita ya Rakyat! Klo begini apa guna Pancasila si bagi mereka yg punya kuasa sampah x ya?,segilintir org yg untung dn punya kuasa yg menderita ya rakyat klo begini apa guna pancasila si bagi mereka yg punya kuasa sampah x ya
@susipudjiastuti @prabowo Setuju bangett bu saya yg sekarang tinggal disumbar jujur saja sangatt prihatin melihat penggundulan hutan yg dilakukan dibukit ,setuju bangett bu saya yg sekarang tinggal disumbar jujur saja sangatt prihatin melihat penggundulan hutan yg dilakukan dibukit
@susipudjiastuti @prabowo Yang rugi kan negara para pembesarnya mana ada rugi..untung teroooss..emang daridulu negara settingannya selalu rugi..klo untung mah mana nimbun utang..aya..aya..wae...,yang rugi kan negara para pembesarnya mana ada rugiuntung terooossemang daridulu negara settingannya selalu rugiklo untung mah mana nimbun utangayaayawae
@susipudjiastuti @prabowo https://t.co/xtmQoyXOxX Kami sudah menyerah bu ,kami sudah menyerah bu
@susipudjiastuti @prabowo Perkebunan sawit dimana2 merusak alam dan ironis nya minyak tetap mahal dan bahkan pernah langka,perkebunan sawit dimana merusak alam dan ironis nya minyak tetap mahal dan bahkan pernah langka
@susipudjiastuti @prabowo Paling tidak konsultan lingkungannya membuat rekomendasi yang jujur dan dijalankan dengan kejujuran. Biarin sawit tetap ditanam toh negara juga perlu income.,paling tidak konsultan lingkungannya membuat rekomendasi yang jujur dan dijalankan dengan kejujuran biarin sawit tetap ditanam toh negara juga perlu income
@susipudjiastuti @prabowo Apa masih terdengar dan di dengar Bu mau optimis pun susah mau percaya 10 Perusahaan itu ,apa masih terdengar dan di dengar bu mau optimis pun susah mau percaya perusahaan itu
@susipudjiastuti @prabowo Ibu tidak berjuang dari dalam. Lebih baik sampaikan ke @kikysaputrii yang berjuang dr dalam. Biarkan dia yg sampaikan ke pak prabowo.,ibu tidak berjuang dari dalam lebih baik sampaikan ke yang berjuang dr dalam biarkan dia yg sampaikan ke pak prabowo
@susipudjiastuti @prabowo Tangkap Pelakunya dan Adili dengan Benar beres semua .. Keberanian Presiden di Uji ..,tangkap pelakunya dan adili dengan benar beres semua keberanian presiden di uji
@susipudjiastuti @prabowo Bu Susi bukankah presiden nya ga bisa baca? Saudara kami di Aceh sedang kesulitan air bersih bahan pangan langka kelaparan dimana mana listrik padam dan segalanya serba kekurangan,bu susi bukankah presiden nya ga bisa baca saudara kami di aceh sedang kesulitan air bersih bahan pangan langka kelaparan dimana mana listrik padam dan segalanya serba kekurangan
@susipudjiastuti @prabowo Jangan berharap banyak agar tidak kecewa untuk status Bencana Nasional saja keberatan,jangan berharap banyak agar tidak kecewa untuk status bencana nasional saja keberatan
@susipudjiastuti @prabowo Masa iya tweet bu susi dikurasi juga supaya bubble bapak memyenangkan? ,masa iya tweet bu susi dikurasi juga supaya bubble bapak memyenangkan
@susipudjiastuti @prabowo Ga bakal didengerin Bu.. Pola nya masih sama seperti pemerintah 10 thn lalu ga peduli nyawa manusia Indonesia dan pura-pura tuli,ga bakal didengerin bu pola nya masih sama seperti pemerintah thn lalu ga peduli nyawa manusia indonesia dan purapura tuli
@susipudjiastuti @prabowo Stop dulu semua penebangan sampai waktu yg belum ditentukan,stop dulu semua penebangan sampai waktu yg belum ditentukan
@susipudjiastuti @prabowo Seseorang bagian dri kerusakan itu sendiri tidak akan bisa mengambil keputusan bijak,seseorang bagian dri kerusakan itu sendiri tidak akan bisa mengambil keputusan bijak
@susipudjiastuti @prabowo https://t.co/vYNxd8G52p,
@susipudjiastuti @prabowo G akan tersampaikan bu ho pak prabowo nokia 3310,g akan tersampaikan bu ho pak prabowo nokia
@susipudjiastuti @prabowo Jadi kieu Bu eta lahan sawit teh loloba na anu urang jadi lamun STOP penebangan uing rugi mangkana dipilah we antara legal jeung ilegal,jadi kieu bu eta lahan sawit teh loloba na anu urang jadi lamun stop penebangan uing rugi mangkana dipilah we antara legal jeung ilegal
@susipudjiastuti @prabowo bu sepertinya pejaba² ini udah ga mau denger.. sebenarnya kita ini sebagai apa di Indonesia ,bu sepertinya pejaba ini udah ga mau denger sebenarnya kita ini sebagai apa di indonesia
@susipudjiastuti @prabowo Nanti bisnis @prabowo lumpuh dong bu? Kan niat jadi presiden emang buat bisnisnya dia.,nanti bisnis lumpuh dong bu kan niat jadi presiden emang buat bisnisnya dia
@susipudjiastuti @prabowo Ini kan salah satu akibat dri orang dulu ibu bantu kampanye sempe ke pelosok² Dan sekarang juga lagi ngelakuin hal sama ke salah 1 gub p jawa apa gak takut kalau orangnya akan melakukan hal yg sama?,ini kan salah satu akibat dri orang dulu ibu bantu kampanye sempe ke pelosok dan sekarang juga lagi ngelakuin hal sama ke salah gub p jawa apa gak takut kalau orangnya akan melakukan hal yg sama
@susipudjiastuti @prabowo Udah ga ada yg bisa diharapkan dari Mr. Omon omon bu,udah ga ada yg bisa diharapkan dari mr omon omon bu
@susipudjiastuti @prabowo rajanya omon omon bawahan bilang a percaya aja.,rajanya omon omon bawahan bilang a percaya aja
@susipudjiastuti @prabowo Setuju... Stop sekarang juga,setuju stop sekarang juga
@susipudjiastuti @prabowo Ini spt jeruk makan jèruk,ini spt jeruk makan jruk
@susipudjiastuti @prabowo Berharap boleh saja Bu tapi Ibu berharap pada pemimpin yg salah,berharap boleh saja bu tapi ibu berharap pada pemimpin yg salah
@susipudjiastuti @prabowo Gak sampai ke telingganya bun gmana diA mau dengar,gak sampai ke telingganya bun gmana dia mau dengar
@susipudjiastuti @prabowo mereka tunarungu bu,mereka tunarungu bu
@susipudjiastuti @prabowo Ibu kira bapak berani? Saya kira bapak ga akan pernah seberani itu bu ,ibu kira bapak berani saya kira bapak ga akan pernah seberani itu bu
@ARSIPAJA Habis di bredel langsung menjilat ....najiiss https://t.co/rZ3uWAtC0E,habis di bredel langsung menjilat najiiss
@ARSIPAJA Sebenernya yang dibenci bukan prabowonya semua yang mendukung dia tapi yang ada hubungannya dengan raja Jawa. Karena raja Jawa lambang kerakusan ketamakan keculasan.,sebenernya yang dibenci bukan prabowonya semua yang mendukung dia tapi yang ada hubungannya dengan raja jawa karena raja jawa lambang kerakusan ketamakan keculasan
@ARSIPAJA Bhaaapppp kok tulisan WARTAWAN https://t.co/BciisdjLKY,bhaaapppp kok tulisan wartawan
@ARSIPAJA @kompascom klean jadi tim media istana aja jing jilat presiden mulu lah taii!,klean jadi tim media istana aja jing jilat presiden mulu lah taii
@ARSIPAJA Sama tim redaksinya @kompascom disebut ga kalau perusahaannya Prabowo turut andil dalam terciptanya malapetaka di Aceh?,sama tim redaksinya disebut ga kalau perusahaannya prabowo turut andil dalam terciptanya malapetaka di aceh
@ARSIPAJA @prabowo omon2 macan ompong memble mau aj dikibulin sama TERMUL,omon macan ompong memble mau aj dikibulin sama termul
@ARSIPAJA kompas salah satu kumpulan berita buzzer,kompas salah satu kumpulan berita buzzer
@ARSIPAJA Jaya Suprana mending edit dah pake bahasa yg netral Buruan jaya Suprana keburu nama lu dicari terus dirujak netizen,jaya suprana mending edit dah pake bahasa yg netral buruan jaya suprana keburu nama lu dicari terus dirujak netizen
@ARSIPAJA hah kompas dikasih rels begini dapat berapa ratus juta mereka ya,hah kompas dikasih rels begini dapat berapa ratus juta mereka ya
@ARSIPAJA Kompas loh.... Bikin berita atau siaran pers kehumasan instansi? Wkwkwkwk,kompas loh bikin berita atau siaran pers kehumasan instansi wkwkwkwk
@ARSIPAJA Sy pengritik ... Kompas sdh jauh dibawah standar.. dulu langganan harian Kompas skrg baca onlinenya jg dah males,sy pengritik kompas sdh jauh dibawah standar dulu langganan harian kompas skrg baca onlinenya jg dah males
@ARSIPAJA Bentar bentar itu yang nulis emang Jaya Suprana???,bentar bentar itu yang nulis emang jaya suprana
@ARSIPAJA Media mainstream kok narasinya gini bgt mending jd buzzer aja anjir,media mainstream kok narasinya gini bgt mending jd buzzer aja anjir
@ARSIPAJA #nooticing https://t.co/vnAELwWdzH,nooticing
@ARSIPAJA Saya tidak membenci president.. Saya hanya tidak suka kesalahan yang tidak di akui ditutup2i tidak diperbaiki lebih parah lagi kalo bersekongkol membunuh nilai moral dan norma.. Jgn lagi terjadi seperti relawan pembela presiden sblmny menjadi buta dengan nilai kebenaran..,saya tidak membenci president saya hanya tidak suka kesalahan yang tidak di akui ditutupi tidak diperbaiki lebih parah lagi kalo bersekongkol membunuh nilai moral dan norma jgn lagi terjadi seperti relawan pembela presiden sblmny menjadi buta dengan nilai kebenaran
@ARSIPAJA @BP_Kaskus gak heran kompas sejak jaman mulyono,gak heran kompas sejak jaman mulyono
@ARSIPAJA Opini isinya jilatin penguasa ada ada aja jaya suprana bukannya ngurusin muri,opini isinya jilatin penguasa ada ada aja jaya suprana bukannya ngurusin muri
@ARSIPAJA Ikan busuk dari apanyaa ??? . Kepala nyaa,ikan busuk dari apanyaa kepala nyaa
@ARSIPAJA Pendukungnya udah mulai pada gila (emang ga pernah waras dari awal si) udah jelas banget kayanya yg dibenci itu rezimnya bukan personalnya,pendukungnya udah mulai pada gila emang ga pernah waras dari awal si udah jelas banget kayanya yg dibenci itu rezimnya bukan personalnya
@ARSIPAJA Njir kompas memelihara penulis berita kek gini?,njir kompas memelihara penulis berita kek gini
@ARSIPAJA Tunjangan Akhir Tahun dikucurkan ada penjahat butuh polesan tebal https://t.co/W3nXPrHf0T,tunjangan akhir tahun dikucurkan ada penjahat butuh polesan tebal
@ARSIPAJA Apalah arti kunjungan kalo bantuan lambat? Ada yg 12 hari blm dpt bantuan skrg 3 daerah mengibarkan bendera putih meminta bantuan internasional krn lambatnya pemerintah ada yg berjalan puluhan kilometer demi mendapatkan beras utk keluarganya,apalah arti kunjungan kalo bantuan lambat ada yg hari blm dpt bantuan skrg daerah mengibarkan bendera putih meminta bantuan internasional krn lambatnya pemerintah ada yg berjalan puluhan kilometer demi mendapatkan beras utk keluarganya
@ARSIPAJA Dia pergi settingan balik ke kondisi asli ,dia pergi settingan balik ke kondisi asli
@ARSIPAJA @kompascom udah jadi penyepong biji satu,udah jadi penyepong biji satu
@ARSIPAJA Amankan tautannya. Bakal jadi artefak bersejarah ini wkwk,amankan tautannya bakal jadi artefak bersejarah ini wkwk
. @SpeedyMorman doesn t chase viral moments; he creates them. Calm precise and surgical he makes space for honesty in an era allergic to nuance. Whether he s sitting with rappers or whatever career Kim K is currently pursuing he brings the same patience and the confidence of https://t.co/yF7l5V9piM,doesn t chase viral moments he creates them calm precise and surgical he makes space for honesty in an era allergic to nuance whether he s sitting with rappers or whatever career kim k is currently pursuing he brings the same patience and the confidence of
@ARSIPAJA ada kaitannya kah dengan jurnalis kompas yg disuruh hapus liputan bencana kemarin?? wkwk narasi nya jadi jilat total maju terus sambil koprol bareng gelondongan kayu,ada kaitannya kah dengan jurnalis kompas yg disuruh hapus liputan bencana kemarin wkwk narasi nya jadi jilat total maju terus sambil koprol bareng gelondongan kayu
@ARSIPAJA Yang belum membaca sebaiknya dibaca dulu artikelnya. https://t.co/1EYsR1pT32,yang belum membaca sebaiknya dibaca dulu artikelnya
@ARSIPAJA Itu kualitas jurnalisnya atau aturan mainnya emang hrs yg bagus aja?,itu kualitas jurnalisnya atau aturan mainnya emang hrs yg bagus aja
@ARSIPAJA @kompascom @KompasTV penyepong penguasa,penyepong penguasa
@ARSIPAJA hmm https://t.co/M0sXxjEAYO,hmm
@ARSIPAJA Kemaren sekilas liat headline berita yg bilang reporter komps dipaksa hapus bukti foto dan video ttg kerusakan bencana di aceh wkwkwk,kemaren sekilas liat headline berita yg bilang reporter komps dipaksa hapus bukti foto dan video ttg kerusakan bencana di aceh wkwkwk
@ARSIPAJA Haha.. KOMPAS ga heran. Berani spill siapa aja perusahaan pembabatan hutan yg menjadi penyebab hutan rusak gak? Gw jamin ga berani. ,haha kompas ga heran berani spill siapa aja perusahaan pembabatan hutan yg menjadi penyebab hutan rusak gak gw jamin ga berani
@ARSIPAJA Udah baca tapi di poin-poin nya ga ada poin penangkapan pelaku pembalakan liar dan pihak yang terlibat harus tanggung jawabnya.,udah baca tapi di poinpoin nya ga ada poin penangkapan pelaku pembalakan liar dan pihak yang terlibat harus tanggung jawabnya
@ARSIPAJA Bare minimum seorang presiden sudah turun drastis.,bare minimum seorang presiden sudah turun drastis
@ARSIPAJA Kayak kunjungan ke daerah dunia ketiga penug dengan parade ...kasihan banget warga,kayak kunjungan ke daerah dunia ketiga penug dengan parade kasihan banget warga
@ARSIPAJA Orang2 kayak gini dikasih platform taikk,orang kayak gini dikasih platform taikk
@ARSIPAJA Buset,buset
@ARSIPAJA Jaya Suprana dan Sandro Gatra is THE money really that good?,jaya suprana dan sandro gatra is the money really that good
@ARSIPAJA Ini kl ketahuan dosen jurnalistik gw diomelin abis-abisan sih,ini kl ketahuan dosen jurnalistik gw diomelin abisabisan sih
@ARSIPAJA Ya di negara feodal kritik memang dianggap kebencian. Sungkem sujud nurut diutamakan.,ya di negara feodal kritik memang dianggap kebencian sungkem sujud nurut diutamakan
@ARSIPAJA yg kita benci itu kebijakan dan kinerjanya bukan orangnya,yg kita benci itu kebijakan dan kinerjanya bukan orangnya
@ARSIPAJA Walau saya tau posisi anda terdesak tp untung belum perpanjang langganan @kompascom,walau saya tau posisi anda terdesak tp untung belum perpanjang langganan
@ARSIPAJA tulisannya si @Kelirumologi buzzer penguasa,tulisannya si buzzer penguasa
@ARSIPAJA apaan banget script nya???,apaan banget script nya
@ARSIPAJA Tim redaksinya diancam kah? Artikel kaya gini lolos.,tim redaksinya diancam kah artikel kaya gini lolos
@ARSIPAJA maaf juga ye penulis gue kaga percaya ,maaf juga ye penulis gue kaga percaya
@ARSIPAJA Loh kirain kompasiana.,loh kirain kompasiana
@ARSIPAJA Kompas jadi Kompos setidaknya kompos bermanfaat lah ini ,kompas jadi kompos setidaknya kompos bermanfaat lah ini
@ARSIPAJA Gw masih mikir dr td.. poinnya kalimat itu apa?,gw masih mikir dr td poinnya kalimat itu apa
@ARSIPAJA Astagaaa berita macam apa itu @kompascom ?,astagaaa berita macam apa itu
@ARSIPAJA Beneran ini kompas bikin narasi berita kayak gini?,beneran ini kompas bikin narasi berita kayak gini
@ARSIPAJA Alasan kenapa ga langganan kompas,alasan kenapa ga langganan kompas
@ARSIPAJA mohon pake bold,mohon pake bold
@ARSIPAJA ini apaan jancok bisa nulis ga sih,ini apaan jancok bisa nulis ga sih
@ARSIPAJA Ya Allah takbirrrr Beneran ada jurnalis kek gini?? Terang2an mihak?? Perasaan gua dl diajarin ga begini deh,ya allah takbirrrr beneran ada jurnalis kek gini terangan mihak perasaan gua dl diajarin ga begini deh
@ARSIPAJA Sekelas kompas bahasanya kek buzerp,sekelas kompas bahasanya kek buzerp
@ARSIPAJA Redaksi @kompascom rasa buzzer..,redaksi rasa buzzer
@ARSIPAJA Ini advertorial atau rubrik opini kah?,ini advertorial atau rubrik opini kah
