full_text_comments,full_text_comments_preprocessed
@msaid_didu @prabowo Menyala bapak bapak koe,menyala bapak bapak koe
"@msaid_didu @prabowo Proof santai dong. yang namanya presiden mah tau kemana bergerak, anda yang mengandai2 aja",proof santai dong yang namanya presiden mah tau kemana bergerak anda yang mengandai aja
@msaid_didu @prabowo Mereka gk paham..presiden prabowo anti intervensi dan beliau punya legitimasi,mereka gk pahampresiden prabowo anti intervensi dan beliau punya legitimasi
@msaid_didu @prabowo Ya kalau emang masih dipercaya kenapa emangnya ?,ya kalau emang masih dipercaya kenapa emangnya
@msaid_didu @prabowo Karena raja Jawa menguasai langit dan bumi,karena raja jawa menguasai langit dan bumi
@msaid_didu @prabowo Tendensinya ke mana nih?,tendensinya ke mana nih
@msaid_didu @prabowo Kalau memang masih berguna dan kinerja nya masih bisa di rasakan kenapa harus di ganti? Jadi stop untuk provokasi,kalau memang masih berguna dan kinerja nya masih bisa di rasakan kenapa harus di ganti jadi stop untuk provokasi
"@msaid_didu @prabowo Kalau cuma Allah dan segelintir orang yang tahu, terus gunanya lempar opini ke publik apa? mau provokasi?",kalau cuma allah dan segelintir orang yang tahu terus gunanya lempar opini ke publik apa mau provokasi
"@msaid_didu @prabowo jangan bikin keruh suasana, pemerintah sedang bekerja memulihkan bencana",jangan bikin keruh suasana pemerintah sedang bekerja memulihkan bencana
@msaid_didu @prabowo loh ko menyudutkan gitu yaa? ini diskusi apaan yaa?,loh ko menyudutkan gitu yaa ini diskusi apaan yaa
"@msaid_didu @prabowo Narasi yang sepeti ini ni yang gk bagus, lebih baik beri bantuan kepada teman2 kita di Aceh Sumatra dari pada mengkritik presiden.",narasi yang sepeti ini ni yang gk bagus lebih baik beri bantuan kepada teman kita di aceh sumatra dari pada mengkritik presiden
@msaid_didu @prabowo Ada pertimbangan dan mekanisme nya,ada pertimbangan dan mekanisme nya
"@msaid_didu @prabowo waduhh, masih proses mungkin pak",waduhh masih proses mungkin pak
@msaid_didu @prabowo Manifesting Indonesia semakin membaik,manifesting indonesia semakin membaik
"@msaid_didu @prabowo Penempatan pejabat mengedepankan kinerja dan prestasi, bukan kepentingan.",penempatan pejabat mengedepankan kinerja dan prestasi bukan kepentingan
"@msaid_didu @prabowo Lah ini apaan pak??? Kudet!
https://t.co/MzsNznGgea",lah ini apaan pak kudet
"@msaid_didu @prabowo asumsi dan cocoklogi kaya gini malah bikin orang fokus ke isu2 ga jelas, bukan ke kinerja pemerintah. sekelas diaspora harusnya bahas kebijakan, hasil, dan arah pemerintahan ke depan, bukan tebak-tebakan 🤦‍♀️",asumsi dan cocoklogi kaya gini malah bikin orang fokus ke isu ga jelas bukan ke kinerja pemerintah sekelas diaspora harusnya bahas kebijakan hasil dan arah pemerintahan ke depan bukan tebaktebakan
@TxtdariHI Evaluasi diri karena gw punya pemikiran yg normal,evaluasi diri karena gw punya pemikiran yg normal
@TxtdariHI Manggil pak pigai untuk lindungi saya🙂,manggil pak pigai untuk lindungi saya
"@TxtdariHI nothing, karena ada menham yang mengkritik balik😌",nothing karena ada menham yang mengkritik balik
@TxtdariHI Normal,normal
@TxtdariHI Ngerahin buzzer lah,ngerahin buzzer lah
@TxtdariHI Berharap dibelain si ganteng,berharap dibelain si ganteng
@TxtdariHI Minta pigai buat counter,minta pigai buat counter
@TxtdariHI Menyalahkan anteq aseng ☝️,menyalahkan anteq aseng
@TxtdariHI curhat ke presiden.,curhat ke presiden
@TxtdariHI sewa buzzer dong,sewa buzzer dong
@TxtdariHI Ngendat,ngendat
@TxtdariHI https://t.co/lIN6SgZUSv,
@TxtdariHI lanjut diam,lanjut diam
@TxtdariHI Ngerahin buzzerp,ngerahin buzzerp
@TxtdariHI Bayar buzzer 🤣🤌,bayar buzzer
"@TxtdariHI Sewa buzzer : ❌
Sewa Pigai : ✅",sewa buzzer sewa pigai
@TxtdariHI US lapdog unleash. This guy betrayed ‘bebas aktif credo’ without shame while he’s in charge. Sugiono fix it.,us lapdog unleash this guy betrayed bebas aktif credo without shame while hes in charge sugiono fix it
@TxtdariHI https://t.co/oqgE1HTiWU,
"@TxtdariHI &gt; nyari transaksi negara yg melibatkan dino patti
&gt; chery-picking kerugian negara yg didapat
&gt; dino patti ""terlibat"" korupsi, dipenjara 5 tahun (sampe jabatannya selesai bjir)

Another  t̶a̶p̶o̶l̶ koruptor thrown in the cell https://t.co/pBqvWqAkMz",gt nyari transaksi negara yg melibatkan dino patti gt cherypicking kerugian negara yg didapat gt dino patti terlibat korupsi dipenjara tahun sampe jabatannya selesai bjir another tapol koruptor thrown in the cell
@TxtdariHI Salto dan kayang di Bunderan HI,salto dan kayang di bunderan hi
@TxtdariHI Langsung jadi Presiden Dewan HAM PBB 😀. Malu banget yang ngritik. Kira kira bakal ucapin selaamet ga tuh ke Menlu? 😆,langsung jadi presiden dewan ham pbb malu banget yang ngritik kira kira bakal ucapin selaamet ga tuh ke menlu
@Outstandjing Membuka diplomasi khusus ke negara tetangga negara republik banten,membuka diplomasi khusus ke negara tetangga negara republik banten
"@Outstandjing Tolol kerjaan utama nya apa, ngapain dateng ke penyaluran rumah. Kabinet ngga jelas semua",tolol kerjaan utama nya apa ngapain dateng ke penyaluran rumah kabinet ngga jelas semua
@Outstandjing Berbusa bisa Pak @dinopattidjalal ngajak menlu aktif,berbusa bisa pak ngajak menlu aktif
@Outstandjing @PNS_Ababil Kerja kerja kerja eh salah jobdesk,kerja kerja kerja eh salah jobdesk
@Outstandjing @piyopikavet Banten itu di negara mana ya?,banten itu di negara mana ya
@Outstandjing @PNS_Ababil Maunya hadir di acara yg enteng2...,maunya hadir di acara yg enteng
@Outstandjing @PNS_Ababil kapan kunjungan ke bekasi nih?,kapan kunjungan ke bekasi nih
"@Outstandjing kalau rumah subsidinya di Bali, bisa dimaklumi. rumah subsidi Russian Ghetto.",kalau rumah subsidinya di bali bisa dimaklumi rumah subsidi russian ghetto
"@Outstandjing Para diplomat sdh pada bingung pak..
Mereka bingung menterinya siapa sekarang...",para diplomat sdh pada bingung pak mereka bingung menterinya siapa sekarang
@Outstandjing Pak Pigai mana Pak Pigai. Kasih tau Pak Dino kalo Pak Menlu itu kerja dengan baik dan benar,pak pigai mana pak pigai kasih tau pak dino kalo pak menlu itu kerja dengan baik dan benar
@Outstandjing Joko sembung bawa golok momen,joko sembung bawa golok momen
@Outstandjing Di usia berapakah kalian tahu bahwa Serang Banten itu luar negeri?,di usia berapakah kalian tahu bahwa serang banten itu luar negeri
@Outstandjing Ngapain hadirnya disitu 😑,ngapain hadirnya disitu
@Outstandjing Pak Giono ini menlu atau menteri urusan rumah..?,pak giono ini menlu atau menteri urusan rumah
@Outstandjing Kenapa urusan dalam negri ada Menlu?,kenapa urusan dalam negri ada menlu
"@Outstandjing Menlu juga hadir di jalan ibu kota, so what gitu loh",menlu juga hadir di jalan ibu kota so what gitu loh
@Outstandjing Prinsipnya semua akan gw kerjakan yg pnting bkn jobdesk w,prinsipnya semua akan gw kerjakan yg pnting bkn jobdesk w
@Outstandjing Banten udah jadi luar negeri?,banten udah jadi luar negeri
"@Outstandjing Ini Menlu Indonesia sekarang? 
Tch, INKOMPETEN.",ini menlu indonesia sekarang tch inkompeten
"@Outstandjing namanya juga menlu menlu
🤣🤣🤣",namanya juga menlu menlu
@Outstandjing @PNS_Ababil This is sarcasm right?,this is sarcasm right
@Outstandjing ini template ya ndjing?,ini template ya ndjing
@Outstandjing apasih jirrr ga nyambung 😭,apasih jirrr ga nyambung
"@Outstandjing MENLU 
Tp ikut bukan kegiatan soal MENLU",menlu tp ikut bukan kegiatan soal menlu
@Outstandjing Hubungan tugas menlu dan KPR Rumah apa ya kak?,hubungan tugas menlu dan kpr rumah apa ya kak
@Outstandjing 56 itu apakah tahun angkatannya pas di SMA?,itu apakah tahun angkatannya pas di sma
@Outstandjing Apa karena saking autopilotnya kerjaan di Kemenlu ya?😬,apa karena saking autopilotnya kerjaan di kemenlu ya
@Outstandjing Harus tetep positif komennya biar gak ditangkep acab 😂,harus tetep positif komennya biar gak ditangkep acab
"@Outstandjing Ngapain lu disituuu, manusiaaa",ngapain lu disituuu manusiaaa
"@Outstandjing Lah menlu kalo kerja ya abroad pak, ngapain ngurusin regional, buat apa mendagri",lah menlu kalo kerja ya abroad pak ngapain ngurusin regional buat apa mendagri
@Outstandjing Jaka sembung bawa golok,jaka sembung bawa golok
@Outstandjing Mungkin lagi cosplay jd Menteri Pelumahan,mungkin lagi cosplay jd menteri pelumahan
@Outstandjing Hilang arah kayaknya 🤔,hilang arah kayaknya
"@Outstandjing INI SARKAS YA GESSS,SARKASSSS!!

Astagoy.",ini sarkas ya gessssarkassss astagoy
@Outstandjing Baru tau kalo Serang itu di luar negri,baru tau kalo serang itu di luar negri
@Outstandjing @PNS_Ababil (Menlu),menlu
@Outstandjing The real inkompeten,the real inkompeten
@Outstandjing @PNS_Ababil Downgrade,downgrade
@Outstandjing salah tempat woiii,salah tempat woiii
@Outstandjing Palugada aja dah,palugada aja dah
@Outstandjing Maaf si Sugi ini menteri apaan ya? Menteri Perumahan atau apa 😌,maaf si sugi ini menteri apaan ya menteri perumahan atau apa
@Outstandjing Bwahahaha,bwahahaha
"@Outstandjing Bravo sekjen gerindra
Eh
Menlu maksudnya",bravo sekjen gerindra eh menlu maksudnya
@Outstandjing Hedoooop jokoweeee!!!,hedoooop jokoweeee
@Outstandjing @piyopikavet Ngapainnnn 😭😭😭,ngapainnnn
"@Outstandjing Ceuk Pigai : kumaha Menlu weh atuh rek kamana2 oge ceunah, da teu ngalanggar HAM",ceuk pigai kumaha menlu weh atuh rek kamana oge ceunah da teu ngalanggar ham
@Outstandjing 😂😂,
@Outstandjing luar urusan,luar urusan
"@Outstandjing Gaji Menteri, kerjaan CPNS kalo cuma hadir2 beginian mah",gaji menteri kerjaan cpns kalo cuma hadir beginian mah
"@Outstandjing Wkkwkwk
Menteri luar negeri ngurusin perumahan.
Kacau",wkkwkwk menteri luar negeri ngurusin perumahan kacau
@Outstandjing Sugi ini masih kerabat kakek itu?,sugi ini masih kerabat kakek itu
"@Outstandjing Kalau sampe Triumvirat turun acara begini, presiden masih sehat kan?",kalau sampe triumvirat turun acara begini presiden masih sehat kan
"@Outstandjing Rakyat lu noh tertawan di kamboja
Malah seremonial akad rumah subsidi
Sick",rakyat lu noh tertawan di kamboja malah seremonial akad rumah subsidi sick
@Outstandjing Bukan kerjaan ny tp ikut nimbrung tlol emng rezim taun ini,bukan kerjaan ny tp ikut nimbrung tlol emng rezim taun ini
@yusuf_dumdum @prabowo @Gerindra Viralkan,viralkan
@yusuf_dumdum @prabowo @Gerindra 🇮🇩🤟,
"@yusuf_dumdum @prabowo @Gerindra RAKYAT Harus BERSYUKUR

Syukur, MBG semakin Kasar di KORUPSI
Syukur, Para Pelakunya AMAN saja
Syukur Punya Presiden yang Komit jalankan PROGRAM Kacau
Syukur MBG tidak perlu diPERBAIKI

Semua ini kita syukuri saja

🇮🇩🥱🇮🇩",rakyat harus bersyukur syukur mbg semakin kasar di korupsi syukur para pelakunya aman saja syukur punya presiden yang komit jalankan program kacau syukur mbg tidak perlu diperbaiki semua ini kita syukuri saja
@yusuf_dumdum @prabowo @Gerindra udh habis berpa T buat MBG dan hasilnya apa?,udh habis berpa t buat mbg dan hasilnya apa
"@yusuf_dumdum @prabowo @Gerindra Memang ga keberesan model MBG ini,muak liat nya,ga bermutu.",memang ga keberesan model mbg inimuak liat nyaga bermutu
@yusuf_dumdum @prabowo @Gerindra Ini hari libur masih di beri untuk 1 Minggu harusnya ya Alhamdulillah. Tidak sekolah masih diperhatikan,ini hari libur masih di beri untuk minggu harusnya ya alhamdulillah tidak sekolah masih diperhatikan
@yusuf_dumdum @prabowo @Gerindra Pak WaPres @gibran_tweet ?,pak wapres
@yusuf_dumdum @prabowo @Gerindra https://t.co/rtMVFEzZg2,
"@yusuf_dumdum @prabowo @Gerindra Bila keuntungan MBG Rp.1000 x 1 juta anak  saja sudah 1 milyar.

Kalau ada 10 juta anak x 1000 x seminggu udah brapa itu.... 🇲🇨🤣

MERDEKAAA!!! 🇲🇨 https://t.co/oODYgLKjmw",bila keuntungan mbg rp x juta anak saja sudah milyar kalau ada juta anak x x seminggu udah brapa itu merdekaaa
"@yusuf_dumdum @prabowo @Gerindra Respect bgt sama ibunya! Berani suarain keresahan soal MBG yang dirapel  Emang bener sih, nutrisi anak ga bisa ditunda-tunda. Semoga bisa jadi masukan buat pemerintah biar program bagus ini makin bagus lagi kualitasnya!",respect bgt sama ibunya berani suarain keresahan soal mbg yang dirapel emang bener sih nutrisi anak ga bisa ditundatunda semoga bisa jadi masukan buat pemerintah biar program bagus ini makin bagus lagi kualitasnya
@yusuf_dumdum @prabowo @Gerindra MBG itu program bagus kalo diurus dgn baik. Tapi ini malah jadi ladang korupsi baru bagi pejabat2 terkait. Dan sebagai alat utk kampanye nanti di pilpres 2029.,mbg itu program bagus kalo diurus dgn baik tapi ini malah jadi ladang korupsi baru bagi pejabat terkait dan sebagai alat utk kampanye nanti di pilpres
@yusuf_dumdum @prabowo @Gerindra Udah under spek gitu jlas bnget dikorupsi,udah under spek gitu jlas bnget dikorupsi
@yusuf_dumdum @prabowo @Gerindra Semoga di tahun 2026 petinggi BGN yang korupsi kena stroke mendadak.... Soalnya suka menipu dan intimidasi verbal rakyat....  Amin...🤲🤲🤲🤲🤲🤲,semoga di tahun petinggi bgn yang korupsi kena stroke mendadak soalnya suka menipu dan intimidasi verbal rakyat amin
"@yusuf_dumdum @prabowo @Gerindra Peduli apa gua🤭,intinya gua kaya dan masih idup,walau biji dah ilang 1",peduli apa guaintinya gua kaya dan masih idupwalau biji dah ilang
@yusuf_dumdum @prabowo @Gerindra kalau pas liburan mbg di stop utk bayar cicilan mobil box gimana?,kalau pas liburan mbg di stop utk bayar cicilan mobil box gimana
@yusuf_dumdum @prabowo @Gerindra PROGRAM BUAT BANCAKAN,program buat bancakan
"@yusuf_dumdum @prabowo @Gerindra Sudah saatnya kita terus mendorong evaluasi dan Kerja Nyata perbaikan, agar kedepannya #LanjutkanMBG bisa berjalan semakin baik dan berkualitas, dan menjangkau seluruh wilayah Indonesia 🙏",sudah saatnya kita terus mendorong evaluasi dan kerja nyata perbaikan agar kedepannya lanjutkanmbg bisa berjalan semakin baik dan berkualitas dan menjangkau seluruh wilayah indonesia
"@kompascom Melayani &amp; mengayomi rakyat aja gak becus, pake ditambah tugasnya jadi petani jagung?? Yg ngide begini uteknya musti di-service ke bengkel overhaul, adaaaa..aja modusnya ngadalin anggaran",melayani amp mengayomi rakyat aja gak becus pake ditambah tugasnya jadi petani jagung yg ngide begini uteknya musti diservice ke bengkel overhaul adaaaaaja modusnya ngadalin anggaran
"@kompascom Polisi kok suruh nanam jagung, ya terbengkalai.

Suruh respon laporan warga aja terbengkalai, ini suruh nanam jagung.",polisi kok suruh nanam jagung ya terbengkalai suruh respon laporan warga aja terbengkalai ini suruh nanam jagung
@kompascom Petani jadi polisi..polisi jadi petani,petani jadi polisipolisi jadi petani
"@kompascom Polisi tugasnya mengayomi dan melindungi masyarakat, bukan Nanam Jagung !!!",polisi tugasnya mengayomi dan melindungi masyarakat bukan nanam jagung
@kompascom Paling ujungnya di jual ke pengembang,paling ujungnya di jual ke pengembang
@kompascom ngerjain kerjaannya gabisa. skarang bertanipun gagal. emg bisanya cuma nyusahin rakyat doang,ngerjain kerjaannya gabisa skarang bertanipun gagal emg bisanya cuma nyusahin rakyat doang
@kompascom Tugas pemerintah ya ngatur2 &amp; perintah2. Ancur lah kalo ikutan main,tugas pemerintah ya ngatur amp perintah ancur lah kalo ikutan main
@kompascom Gimana awalnya koq bisa terbengkalai mang gak melalui proses perencanaan yg matang?? atau mang buat pencitraan aja.??,gimana awalnya koq bisa terbengkalai mang gak melalui proses perencanaan yg matang atau mang buat pencitraan aja
"@kompascom Kelakuannya gak berubah ubah,cuma buat ceremony pencitraan ,biar terlihat kerja.😁😁",kelakuannya gak berubah ubahcuma buat ceremony pencitraan biar terlihat kerja
"@kompascom Yg penting duit udah mengalir, peduli amat jagungnya 🤨",yg penting duit udah mengalir peduli amat jagungnya
"@kompascom Sama kek Gibran, gak mau dipikir dl kerjanya..",sama kek gibran gak mau dipikir dl kerjanya
"@kompascom D musnakan 
Trus pengembang tgl bgun perumahan yg mewah dgn hrga mahal.
JD ini cuma ajang pansos wapres klw dia bneran kerja.",d musnakan trus pengembang tgl bgun perumahan yg mewah dgn hrga mahal jd ini cuma ajang pansos wapres klw dia bneran kerja
"@kompascom Ladang jagung
Untuk ketahanan pangan
Diresmikan wapres terbaik sepanjang sejarah indonesia
Di evaluasi

Oleh polisi",ladang jagung untuk ketahanan pangan diresmikan wapres terbaik sepanjang sejarah indonesia di evaluasi oleh polisi
@kompascom MENANAM . . tak berarti MEMANEN. . . 😁😁😁 . . duwit rakyat DIHAMBUUR2-IN. . . emang dancuuuuk. . .,menanam tak berarti memanen duwit rakyat dihambuurin emang dancuuuuk
@kompascom Negara ini sdh terlalu parah dan gak ketolong lg rakus dan korupsi nya,negara ini sdh terlalu parah dan gak ketolong lg rakus dan korupsi nya
@kompascom Pas itu ternak dilepas bisa kenyang2,pas itu ternak dilepas bisa kenyang
@kompascom Lembaga negara ini udah sm kayak baby sitter keluarga solo.,lembaga negara ini udah sm kayak baby sitter keluarga solo
@kompascom Kerjaaan utama diberesin dulu urusan jagung serahkan ke petani asli..,kerjaaan utama diberesin dulu urusan jagung serahkan ke petani asli
@kompascom Wong ancen ora niat tandur mubg niat nyairno duit tok,wong ancen ora niat tandur mubg niat nyairno duit tok
"@kompascom @msaid_didu Pinter sekali kakak nya @kaesangp ini ya.. lanjutkan mas @gibran_tweet , mantab pak @jokowi .",pinter sekali kakak nya ini ya lanjutkan mas mantab pak
@kompascom @susipudjiastuti @DivHumas_Polri @gibran_tweet @mohmahfudmd @JimlyAs 🤣👎,
@kompascom Jangan2 modus spy tanah ladang akan disulap jadi dikuasai oligarki,jangan modus spy tanah ladang akan disulap jadi dikuasai oligarki
@kompascom Lulusan Pertanian kurang kah sampai mereka yang buka lahan jagung?,lulusan pertanian kurang kah sampai mereka yang buka lahan jagung
@kompascom @msaid_didu Oooo alah wapres 58 ta,oooo alah wapres ta
"@kompascom Malas ngurusnya, gk ada duitnya.",malas ngurusnya gk ada duitnya
@kompascom @susipudjiastuti Yang penting nomor satu pencitraan seperti buapaknya.,yang penting nomor satu pencitraan seperti buapaknya
"@kompascom Yg di tangerang depan Mata aja terbengkalai, gimana yg jauh di Papua ya",yg di tangerang depan mata aja terbengkalai gimana yg jauh di papua ya
@kompascom Jual kebon akhirnya jadi tukang kebon juga,jual kebon akhirnya jadi tukang kebon juga
"@kompascom @susipudjiastuti Bayangkan biayanya.., bayangkan saja.. 🤔🤔",bayangkan biayanya bayangkan saja
@kompascom Kalau petani asli pasti tidak akan menelantarkan tanamannya.,kalau petani asli pasti tidak akan menelantarkan tanamannya
@kompascom @susipudjiastuti Bisa ngga nurut gitu pohon jagung,bisa ngga nurut gitu pohon jagung
@kompascom Cuma buat foto2 awal selesai,cuma buat foto awal selesai
@kompascom Program opooooo iki sul samsul?,program opooooo iki sul samsul
@kompascom masih kurang 4 thn lagi kita hidup di negara dgn pemimpin² bodoh dan tolol..,masih kurang thn lagi kita hidup di negara dgn pemimpin bodoh dan tolol
@kompascom Bukannya mestinya dari kementan y? What the brown uniform has to do with farming? https://t.co/hJBPG4IfjD,bukannya mestinya dari kementan y what the brown uniform has to do with farming
@kompascom Bertani itu harus telaten urusnya ... bukan jadi kerja sampingan,bertani itu harus telaten urusnya bukan jadi kerja sampingan
@kompascom Ini pake apbn? Kalo iya harus ditangkap.,ini pake apbn kalo iya harus ditangkap
@kompascom Evaluasi dilakukan krn netizen berisik! 🤭,evaluasi dilakukan krn netizen berisik
@kompascom bentar lagi tumbuh beton,bentar lagi tumbuh beton
@kompascom Emang nggak kerjasama dengan Departemen Pertanian setempat ?,emang nggak kerjasama dengan departemen pertanian setempat
@kompascom Setiap yg dia resmikan pasti gagal......,setiap yg dia resmikan pasti gagal
@kompascom Tebu bagus jg keknya,tebu bagus jg keknya
@kompascom Dulu ladang Jagung itu dipercayakan kpd siapa?,dulu ladang jagung itu dipercayakan kpd siapa
"@kompascom Gpp buat rame -rame seremonial, lebih mudah import ngapaen nanam, lama.",gpp buat rame rame seremonial lebih mudah import ngapaen nanam lama
"@kompascom Bedak pencitraan udah luntur, sekarang keliatan aslinya",bedak pencitraan udah luntur sekarang keliatan aslinya
@kompascom Sudah pasti anggaran pupuk &amp; pemeliharaannya di tilep,sudah pasti anggaran pupuk amp pemeliharaannya di tilep
"@kompascom Karena mereka merasa tak mungkin lagi,kan ada Batalyon baru yg nantinya akan mengurus ketahanan pangan. 
 Bahasa sederhana nya;
Bodo amatlah. Emang gw pikirin.",karena mereka merasa tak mungkin lagikan ada batalyon baru yg nantinya akan mengurus ketahanan pangan bahasa sederhana nya bodo amatlah emang gw pikirin
@kompascom Polisi kok ngurusin jagung? Kementan kemana? Dinas pertanian ngapain?,polisi kok ngurusin jagung kementan kemana dinas pertanian ngapain
@kompascom Resmikan saja jadi lahan ganja,resmikan saja jadi lahan ganja
@kompascom Dijadiin pwrumahan aja,dijadiin pwrumahan aja
@kompascom ditanam tapi tdk ada petani yang mengurusnya nih kok bisaaaaa,ditanam tapi tdk ada petani yang mengurusnya nih kok bisaaaaa
@kompascom Proyek tidak mutu,proyek tidak mutu
@kompascom Suruh termul urusin,suruh termul urusin
"@kompascom Dikiranya gampang jadi petani?
Tinggal nanem trus ditinggal, berharap panen? Clown shoes🤡!!",dikiranya gampang jadi petani tinggal nanem trus ditinggal berharap panen clown shoes
@kompascom tanam sawit aja lah,tanam sawit aja lah
@kompascom Duit pd nguap kemn itu?,duit pd nguap kemn itu
@kompascom @susipudjiastuti Jagung ro suket e lemu suket e 😭,jagung ro suket e lemu suket e
"@kompascom Sy punya ide, bagaimana kalo ditanami sawit?",sy punya ide bagaimana kalo ditanami sawit
@kompascom Bahkan jagungpun ga ikhlas,bahkan jagungpun ga ikhlas
@kompascom Emang cuma basa basi plan ...gak ada yg serius,emang cuma basa basi plan gak ada yg serius
@kompascom Koq polisi?,koq polisi
@kompascom proyek buang2 duit,proyek buang duit
@kompascom Hhhh mantap ya??🤭🫣😄,hhhh mantap ya
@kompascom Mayan ada kerjaan..si dungu,mayan ada kerjaansi dungu
"@kompascom Anggaran ketahanan pangan yang dipegang anggota @ListyoSigitP kemana aja ?
Apakah @KPK_RI &amp; @KejaksaanRI akan diam saja ?",anggaran ketahanan pangan yang dipegang anggota kemana aja apakah amp akan diam saja
@kompascom @susipudjiastuti Hrs coba dlu tanem pohon toge,hrs coba dlu tanem pohon toge
@kompascom Wkwkwk cekakak,wkwkwk cekakak
@kompascom Mubazir kagak berguna itu modal awal pake dana siapa? Dana pribadi wapres apa dana uang rakyat dari pajak? Ampunn,mubazir kagak berguna itu modal awal pake dana siapa dana pribadi wapres apa dana uang rakyat dari pajak ampunn
"@kompascom Coklat biasanya hanya ambil dokumentasinya saja selesai itu sudah ,yang Penting anggaran sudah ada di buku.. 🤣🤣🤣",coklat biasanya hanya ambil dokumentasinya saja selesai itu sudah yang penting anggaran sudah ada di buku
@kompascom Evaluasi pake duit lg..😁,evaluasi pake duit lg
@kompascom Dagelan samsul,dagelan samsul
@kompascom 🤣🤣🤣🤣🤣🤣,
@kompascom HAHAHAHAHHAHAHAA,hahahahahhahahaa
@kompascom Gelap,gelap
@kompascom evaluasi?🤣,evaluasi
@kompascom @susipudjiastuti Semua isinya OMON2 dan KEBOHONGAN !!!!,semua isinya omon dan kebohongan
@kompascom 🤣🤣🤣🤣🤣,
@kompascom https://t.co/L5GlIegfEk,
@kompascom Kalian hanya cari proyek aja. Yg penting ada tanamannya biar terlihat kerja. Sisa uangnya entah dikemanakan🤦‍♂️,kalian hanya cari proyek aja yg penting ada tanamannya biar terlihat kerja sisa uangnya entah dikemanakan
@kompascom @msaid_didu Piala citra !!! 😀😀🐸🕳️,piala citra
@kompascom Proyek abal2..yg pnting caiirr,proyek abalyg pnting caiirr
@kompascom @susipudjiastuti https://t.co/3bVzGyr0cD,
"@anvie Semua negara mestinyavharus ada rudal nuklir...justru itu bisa menjaga dunia aman. Karna tidak ada yang berani gertak ancam negara lain. Karna sama"" punya taring, dsn bisa sama jadi abu.",semua negara mestinyavharus ada rudal nuklirjustru itu bisa menjaga dunia aman karna tidak ada yang berani gertak ancam negara lain karna sama punya taring dsn bisa sama jadi abu
@anvie https://t.co/qXAGpFYpmR,
@anvie @grok buat dia botak,buat dia botak
"@anvie Kita menjajaki teknologi nuklir pada akhir 1950-an,  awalnya tak tertarik utk membuat senjata tp berubah sejak test bom atom Miss Qiu di Xinjiang 16 oktober ‘64. Brigjend Hartono menyatakan kemungkinan Indonesia punya bom atom sendiri. Rest of the story kita tahu apa yg terjadi.",kita menjajaki teknologi nuklir pada akhir an awalnya tak tertarik utk membuat senjata tp berubah sejak test bom atom miss qiu di xinjiang oktober brigjend hartono menyatakan kemungkinan indonesia punya bom atom sendiri rest of the story kita tahu apa yg terjadi
@anvie Yg blg org gila itu kemakan propaganda berita mamarika,yg blg org gila itu kemakan propaganda berita mamarika
"@anvie Punya senjata nuklir adalah garansi keamanan dan kedaulatan suatu negara, cuma itu. ☢️",punya senjata nuklir adalah garansi keamanan dan kedaulatan suatu negara cuma itu
"@anvie Sebenernya udah lama sih tapi dari waktu ke waktu cuma diingetin aja...
Walaupun rusia ama china ga bner2 bersih, kalo disuruh memihak (dan nanti bakal tiba juga waktunya memihak kalau terjadi perang, ini pasti), ya mending mihak sosialis.. toh perang jg butuh biaya dan resource",sebenernya udah lama sih tapi dari waktu ke waktu cuma diingetin aja walaupun rusia ama china ga bner bersih kalo disuruh memihak dan nanti bakal tiba juga waktunya memihak kalau terjadi perang ini pasti ya mending mihak sosialis toh perang jg butuh biaya dan resource
@anvie Negara mewah tampa sumber nuklir hanya tinggal menunggu waktu untk dijajah? Untuk negara kita miskin..,negara mewah tampa sumber nuklir hanya tinggal menunggu waktu untk dijajah untuk negara kita miskin
"@anvie Ameriki pernah bengong ketika japun menggunakan pasukan bunuh dirinya ketika sdh terdesak, dimana itu tidak umum utk Barat dan sekutunya.",ameriki pernah bengong ketika japun menggunakan pasukan bunuh dirinya ketika sdh terdesak dimana itu tidak umum utk barat dan sekutunya
"@anvie To: yth bpk trump , tolong jajah konoha dong, wni udah males dijajah goverment ...😭",to yth bpk trump tolong jajah konoha dong wni udah males dijajah goverment
"@anvie Dikonoha gak perlu diserang,tinggal suap pejabat nya, tanah air laut udara bakal diserahkan cuma2..",dikonoha gak perlu diserangtinggal suap pejabat nya tanah air laut udara bakal diserahkan cuma
"@anvie CONTOH RUSSIA AJA, HANCUR NEGARA MREKA, 1/4 BUMI JUGA JAMINANNYA HANCUR WKWK",contoh russia aja hancur negara mreka bumi juga jaminannya hancur wkwk
"@anvie Untuk yang kuat, peraturan gak berlaku",untuk yang kuat peraturan gak berlaku
@anvie Amrik lewat tangan Israel berani serang Iran.,amrik lewat tangan israel berani serang iran
@anvie konoha dah lama melacurkan gunung2emas dan tanah2 suburnya ke amrik,konoha dah lama melacurkan gunungemas dan tanah suburnya ke amrik
@anvie Amerika dari dijajah menjadi Penjajah.,amerika dari dijajah menjadi penjajah
"@anvie Ditambah Seoul deket banget dari DMZ. Salah langkah sedikit aja, babay Seoul",ditambah seoul deket banget dari dmz salah langkah sedikit aja babay seoul
@anvie @grok put him in a bikini,put him in a bikini
@anvie Bukan hny dijajah tapi direbut,bukan hny dijajah tapi direbut
@anvie Dan biang penjajah adalah =  🇺🇸,dan biang penjajah adalah
@anvie sekarang masuk akal,sekarang masuk akal
