conversation_id_str,created_at,favorite_count,full_text,full_text_comments,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Unnamed: 16
1.999639937076085e+18,Sun Dec 14 04:05:16 +0000 2025,0.0,@toe_giman @NoegrohoEddie Apa yg di Ucapkan dan Dilakukan @ListyoSigitP KAPOLRI adalah PERINTAH @jokowi dan #Luhut Kalau @prabowo Terus melunak Besok-besok PRESIDEN akan di HABISI Seribu kali REFORMASI POLRI nggak ada Gunanya kalau KAPOLRI tidak di ganti..!! @mohmahfudmd https://t.co/Tsb1PmjLA7,,2.0000544582739766e+18,,toe_giman,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000054458273976449,2408810690.0,,
2.0000543267153718e+18,Sun Dec 14 04:04:45 +0000 2025,0.0,Program cek kesehatan gratis Ini merupakan salah satu program Quick Win Presiden Prabowo Subianto yang menyasar 280 juta masyarakat. #SehatBersama #KesehatanUntukSemua #IndonesiaPeduli #PemeriksaanGratis https://t.co/jGOi8he5ow,,2.0000543267153718e+18,https://pbs.twimg.com/media/G8GezixawAE4A-t.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000054326715371820,1.7026830430840218e+18,,
2.0000543101815073e+18,Sun Dec 14 04:04:41 +0000 2025,0.0,@grok apakah ijasah mantan presiden jokowi palsu,,2.0000543101815073e+18,,grok,in,,0.0,1.0,0.0,https://x.com/undefined/status/2000054310181507433,3305803110.0,,
2.000054139125105e+18,Sun Dec 14 04:04:00 +0000 2025,0.0,Sebelum banjir aktivis aceh sudah belasan kali ngirim surat ke presiden soal deforestasi. Gak digubris.,,2.000054139125105e+18,,,in,,0.0,0.0,1.0,https://x.com/undefined/status/2000054139125104975,244397064.0,,
1.9998948905542205e+18,Sun Dec 14 04:03:48 +0000 2025,0.0,@indepenSumatera loh memangnya sekarang lagi susah cari kerja dan cari makan titiek? waduh.. era siapa tuh jd presiden? brengsek emang. anak seorang harto smp kesusahan cari makan ckckck,,2.0000540897960143e+18,,indepenSumatera,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000054089796014298,1.4920046747606876e+18,,
2.0000538482208072e+18,Sun Dec 14 04:02:51 +0000 2025,0.0,Ekonomi stabil dan kepercayaan publik ke Presiden Prabowo meningkat Jule Minggu https://t.co/M52JV3gFyR,,2.0000538482208072e+18,https://pbs.twimg.com/media/G8GeYB_bAAAC5uJ.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000053848220807227,3037998600.0,,
1.9997919879906388e+18,Sun Dec 14 04:01:58 +0000 2025,0.0,@narkosun Mantan presiden yg culas dan munafik,,2.0000536262372518e+18,,narkosun,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000053626237251883,1.666408478003585e+18,,
2.00005341455913e+18,Sun Dec 14 04:01:07 +0000 2025,0.0, Kalau presiden tidak menetapkan bencana alam ini bukan bencana alam nasional kami (masyarakat Nias) mau merdeka dari Indonesia https://t.co/ihNyvpy1xG https://t.co/F2OZK6TflM,,2.00005341455913e+18,https://pbs.twimg.com/ext_tw_video_thumb/2000052678907609088/pu/img/o0QNG6ofyI_W-ciX.jpg,,in,,0.0,0.0,1.0,https://x.com/undefined/status/2000053414559130083,72331131.0,,
2.0000532772963697e+18,Sun Dec 14 04:00:35 +0000 2025,0.0,Tinjau 3 titik bencana dalam sehari kinerja Presiden Prabowo patut diacungi jempol Jule Minggu https://t.co/4SLanBSLjy,,2.0000532772963697e+18,https://pbs.twimg.com/media/G8Gd2tObAAAKW9E.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000053277296369668,3037998600.0,,
2.0000531358641444e+18,Sun Dec 14 04:00:01 +0000 2025,0.0,🇮🇩 Bolak-balik tinjau bencana Prabowo pastikan penanganan cepat &amp; tepat! Ini fokus utamanya! #prabowo #politik #Aceh #banjir https://t.co/HCX5dzPTPr,,2.0000531358641444e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000053135864144298,1.976883358031659e+18,,
2.0000530626864212e+18,Sun Dec 14 03:59:43 +0000 2025,0.0,dzolim bgt ya allah maunya duit doang. mau jadi presiden biar bisa berkuasa ya allah,,2.0000530626864212e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000053062686421134,8.374600957179126e+17,,
2.000053131758199e+18,Sun Dec 14 04:00:00 +0000 2025,0.0,dpr presiden wapres dan seluruh jajarannya,,2.000053131758199e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000053131758198953,1.767425907411792e+18,,
